Year,H.Com,H.Sub,H.Sports,H.Test,In.river,In.river.sd,w.kwe,w.tul,w.geo,w.kog,w.tat,w.tak,a.kwe,a.kis,a.tul,a.sla,a.kip,a.ank,a.hlk,a.osk,a.hlt,a.che,a.gag,a.pit,a.ber,a.slp,rpw.1,rpw.2,rpw.3,rpw.4,rpw.5,rpw.6,rpw.7,rpw.8,rpw.9,rpw.10,chw.3,cew.3,cfw.3,chw.4,cew.4,cfw.4,chw.5,cew.5,cfw.5,chw.6,cew.6,cfw.6,chw.7,cew.7,cfw.7,chw.8,cew.8,cfw.8,chw.9,cew.9,cfw.9
1976,30735,58606,,1206,,,,,,5638,,,,,,,,,,,2571,,,,182,,,,,,,,,,,,0,0,0,20010,5724,1,4143,2088,2,1550,2490,2,1238,4548,2,236,1590,2,0,0,0
1977,35830,56580,33,1264,,,,,,,,,2075,,424,,,,,,,2407,897,,,1930,,,,,,,,,,,12458,2802,1,16227,2904,1,1841,4722,2,673,4194,2,153,2310,2,0,0,0,0,0,0
1978,45641,36270,116,1445,,,,,,14533,,,1722,2417,,289,,,,,2766,268,504,,227,1100,,,,,,,,,,,18483,3972,1,10066,2004,1,3723,5346,2,2354,8676,2,987,7668,2,0,0,0,0,0,0
1979,38966,56283,74,979,,,,,,11393,,,,,,,,,,,,,,,,682,,,,,,,,,,,24633,6432,1,5651,3012,2,3860,6438,2,1233,3252,2,470,3120,2,0,0,0,0,0,0
1980,35881,59892,162,1033,,,,,,,,,,,975,1186,,,,,,,,,,,,,,,,,,,,,9891,2814,1,21698,5364,4,1460,2448,2,498,2298,2,445,2586,2,0,0,0,0,0,0
1981,47663,61329,189,1218,,,,,,16089,,,,,,,,9074,,,,,,,93,,,,,,,,,,,,29882,6180,1,3830,3066,2,4563,5952,2,2795,5520,2,941,2640,2,0,0,0,0,0,0
1982,48234,58018,207,542,,,,,,13126,,,,81,,126,,,,,521,,,,127,413,,,,,,,,,,,4912,2784,1,24628,5970,1,12555,5176,4,1970,3968,2,1055,4734,2,0,0,0,0,0,0
1983,33174,47412,420,1139,,,,,,,,,471,,186,231,,1909,,,1069,173,,,,572,,,,,,,,,,,13406,5634,1,8063,5544,2,4925,5958,2,2415,5634,2,633,2796,2,0,0,0,0,0,0
1984,31742,56930,273,231,,,,,,4922,,,,,,,,,,,,1177,,,,545,0.004232609,0.039602503,0.224328303,0.290283401,0.148803828,0.163305116,0.050938535,0.052226721,0.009017298,0.017261686,0,0,0,17181,5562,1,5643,5616,2,3206,5454,2,2069,5592,2,744,2238,2,0,0,0
1985,37889,43874,85,79,,,,,,4442,,,,63,142,,,,,,,1002,,,,620,0,0,0,0.093045442,0.242730394,0.430598046,0.150444234,0.02465132,0.017527671,0.041002892,0,0,0,6519,2538,3,19204,5880,3,9942,5844,3,0,0,0,0,0,0,0,0,0
1986,19414,51019,49,130,,,,,,,,,,,,336,,424,,,650,,,,,,0,0.057688482,0.150338174,0.403869107,0.165605729,0.139894569,0.048786553,0.009697633,0.024119753,0,0,0,0,0,0,0,11986,6540,3,5029,6852,3,1156,3192,3,0,0,0,0,0,0
1987,36179,67325,355,384,,,,,,,,,,,,516,193,,,193,,317,,,,,0,0.065930076,0.198784786,0.307022492,0.236778765,0.11365844,0.020980751,0.034433727,0.013016897,0.009394066,0,0,0,19126,4734,3,0,0,0,9606,6948,3,1910,3582,3,2758,6720,3,0,0,0
1988,55716,70943,528,576,,,,,,8028,,,622,869,195,244,,954,,80,,,,,,474,0.008209654,0.113962455,0.208012443,0.308638807,0.178608344,0.085164117,0.02183551,0.041870233,0.014525545,0.019172893,12640,4816,3,11708,3672,3,15060,7518,3,5871,6954,3,5270,10794,3,1728,6636,3,662,6276,3
1989,43217,81175,1218,543,,,,,,,,,1157,152,,631,1598,2109,,,,,,,,452,0,0.032017728,0.176938066,0.278015512,0.3474382,0.097581477,0.02580904,0.019046345,0.011920682,0.01123295,0,0,0,15215,5208,3,11094,6144,3,7911,7092,3,6043,10962,3,868,2622,3,210,3372,3
1990,53502,109778,394,512,,,,,,10093,,,,631,200,596,537,1255,,113,,,,,,,0.004721011,0.033856391,0.143406322,0.209522953,0.332539005,0.149206421,0.060946001,0.013556045,0.026639989,0.025605863,0,0,0,16690,3780,3,25459,7536,3,4071,3546,3,4931,8534,3,0,0,0,0,0,0
1991,37778,74820,401,149,,,,697,,6835,,,,217,358,583,885,1564,,,,,,,,,0,0.073837209,0.059302326,0.296511628,0.294186047,0.199418605,0.03372093,0.043023256,0,0,0,0,0,13813,3606,3,12612,3696,3,8068,7308,3,904,3426,3,452,3408,3,419,7522,3
1992,46872,82654,367,1380,,,9675,1083,,6563,,,,,,335,670,2284,,91,2022,1050,328,,,2536,0,0.031276901,0.346628407,0.179053085,0.213199426,0.108464849,0.054232425,0.055380201,0,0.011764706,0,0,0,24334,9488,3,16307,8628,3,3250,4696,3,0,0,0,0,0,0,0,0,0
1993,8735,87674,587,2515,,,,2218,,12377,,,,,,1082,1248,2687,233,103,1573,678,419,,,1010,0.014287226,0.156841994,0.214837549,0.417187004,0.126997566,0.032807705,0.027304477,0.00973648,0,0,0,0,0,0,0,0,8184,4976,3,0,0,0,0,0,0,0,0,0,0,0,0
1994,16211,103343,1139,1937,,,,2918,,,,,,1243,,1218,1520,,,,,1206,807,,,1010,0.013266998,0.116086235,0.288280818,0.30983969,0.139579878,0.100884467,0.01381979,0.012161415,0,0.006080708,0,0,0,0,0,0,14221,4608,3,0,0,0,578,1984,3,441,3000,3,538,6348,3
1995,30846,102110,541,1421,,,,,,20662,,,,1243,,1446,1215,3171,,326,1887,1565,1193,,,1911,0.013473817,0.074336123,0.156600411,0.30661282,0.300521174,0.098820026,0.030006994,0.004963563,0.009701509,0.004963563,0,0,0,6895,2276,3,14424,4532,3,4368,3824,3,1452,3716,3,568,3488,3,0,0,0
1996,7419,96413,1432,247,,,,,7770,13771,,423,,,,985,,,,,,,,,,,0.028390478,0.200698843,0.40074252,0.21380214,0.096309238,0.028827255,0.021402053,0,0.006551649,0.003275824,0,0,0,4091,1056,3,666,360,3,861,836,3,408,896,3,251,1195,3,307,6398,3
1997,10441,79381,1227,332,,,,,7810,13190,,1197,,439,,980,855,2187,,1470,2093,345,364,,,,0,0.044941472,0.191262542,0.529473244,0.119565217,0.053302676,0.035744147,0.011914716,0.007943144,0.005852843,0,0,0,10023,2118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,17359,81213,1434,210,,,,,,,,,,457,,425,443,1930,,,,,,,,,0,0.070680628,0.11663758,0.219895288,0.386561955,0.151250727,0.037812682,0.011634671,0.005526469,0,0,0,0,0,0,0,12771,4584,3,2277,1780,3,1127,1668,3,0,0,0,816,4296,3
1999,4705,72775,252,98,,,,,,5543,1484,,,,,,,,,98,741,,,,,,0,0.011041618,0.135974056,0.134893058,0.246853525,0.146166319,0.190255579,0.029727434,0.075360976,0.029727434,0,0,0,0,0,0,4668,2454,3,0,0,0,0,0,0,0,0,0,0,0,0
2000,444,67620,105,64,,,3547,,2959,3242,807,345,,,,238,182,714,,,301,,,,,362,0,0.122556233,0.208850116,0.389636325,0.153037629,0.046142527,0.020496111,0.040992222,0,0.018288838,0,0,0,0,0,0,0,0,0,357,896,3,0,0,0,0,0,0,0,0,0
2001,90,78009,290,86,,,,997,3277,7475,1978,718,,,,598,,,52,,4156,,143,151,175,1033,0,0.045578588,0.079053074,0.41565984,0.250992208,0.103588789,0.052823314,0.036673778,0,0.01563041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,72,80982,319,288,,,8502,1346,2443,10025,2237,316,1795,1727,,1236,1615,,513,295,733,730,,,211,,0.003572139,0.084239043,0.354687809,0.224515739,0.160054748,0.103407777,0.033704992,0.01367549,0.008917679,0.013224585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
