676.621	111787	39904	86511.9	139156	152795	386167	51933.4	218379	21789.4	114990	13764.7	72642.4	17064.3	41916.7
0	93539.9	674859	132755	79533.9	114217	134308	252161	100104	155077	54319.7	43079.2	12481.1	41848.3	32341.7
164.919	8114.74	262722	1146150	102147	65827.8	63710.3	53256.5	91219.6	20486.7	32304.6	11696.4	12520.1	6667	16501
1639.08	35979.6	56762.5	359649	1066710	175769	54462.4	20196.2	13365.8	20711.4	8554.22	9407.67	7030.43	3719.6	7589.24
0	473.072	81344.2	151699	397469	761197	130590	32209.4	11078.1	8482.89	18227.2	5472.45	6315.59	1549.08	9046.84
0	23237.8	56239.9	81804.7	166442	368500	475118	185612	31412.2	13429.9	8813.42	8561.38	4778.79	5306	5739.3
2364.39	83568.5	37758.9	111673	478565	288300	251336	196723	61581.5	13563.2	6420.07	4976.86	3505.96	4768.99	11173.6
617.056	51145.8	89811.8	71985.8	156917	686938	199049	128342	108710	29493.1	6326.47	5791.55	2868.19	3215.53	5483.29
410.976	11594.8	294969	227749	105250	155675	473743	132714	57528.2	32891.6	3480.37	2229.44	738.789	388.986	1873.17
0	17368.2	80172.8	423185	343030	105384	169067	359491	85963.9	29599.2	24372.6	5668.82	1550.79	808.137	1491.66
0	3735.08	56752.9	162048	574754	405766	136069	129178	158270	57543.4	35104.2	16043.7	5866.49	2923.92	2127.91
920.17	56708.8	111063	214793	284065	602179	267194	99315.8	87377.1	95564	34869.3	14461.4	12615.6	2774.66	1647.21
0	17298.6	402201	320768	366794	305244	332057	157346	53033.4	40166.6	36510.1	23738.5	6950.09	3011.3	4000.46
0	1131.76	90013.2	829602	479713	238170	168677	156876	64043.5	16920.1	18864	26114	10607.6	6637.73	7004.58
0	3128.2	53749.2	391153	861813	489108	156439	67472.6	67084.8	33733.3	11246.6	10232.2	3410.22	1958.38	3553.43
0	12188.2	84168.5	290121	622776	592209	279903	108900	49617.9	38353.7	16420	9613.08	9542.57	5124.14	7953.4
1834.43	19475.6	57200.6	124241	374046	514742	306316	138972	50196.1	28038.4	23321.2	9435.19	6483.15	3424.54	12853.1
0	26913	58603.7	78565.5	147696	307362	242252	149108	83280.2	22297	19102.3	14466	8561.93	2758.46	12678.8
756.32	3388.84	151846	188837	73448.6	101992	126940	106863	85673.1	40671	26384.3	10548.5	8991.83	4141.6	15586.6
2348.71	31374.4	31762.4	560104	222297	53702	44263.6	55814	49326.1	34655.3	13933.6	9053.48	5742.6	6256.57	7050.67
923.87	14731.5	191627	117689	807607	283793	64059.2	39350.7	38264.7	40092.7	25315	13275.9	1724.54	4682.55	5719.59
0	28278.4	120523	942652	173000	432751	138349	37855.3	17807.8	13400.2	15875.3	16008.1	8282.94	7969.21	3580.64
3411.71	1709.41	70236.4	342181	944443	187941	154749	68491.7	20583.6	17703.9	13614.9	12413.9	9029.52	5861.32	7370.78
0	42227.4	31344.4	170902	398997	751351	210358	88198.2	29098	9132.3	4790.48	4998.12	4259.71	2898.57	8887.45
0	42227.4	31344.4	170902	398997	751351	210358	88198.2	29098	9132.3	4790.48	4998.12	4259.71	2898.57	8887.45
